id_manga,Titulo,id_ano,Puntaje,URL,Portada,Volumen_inicio,Volumen_fin,Precio
1,Ataque de los Titanes,1,4.67,https://www.mangazenkan.com/items/40733/,img/portadas/001_進撃の巨人.jpg,1,2,1100.0
2,Steel Ball Run,1,5.0,https://www.mangazenkan.com/items/6/,img/portadas/002_STEELBALLRUNスティールボールラン.jpg,1,68,32956.0
3,One Piece,1,4.8,https://www.mangazenkan.com/items/169/,img/portadas/003_ワンピース ONE PIECE.jpg,1,1,484.0
4,Kuroko no Basket,1,4.43,https://www.mangazenkan.com/items/4849/,img/portadas/004_黒子のバスケ.jpg,1,1,796.0
5,Yowamushi Pedal,1,4.69,https://www.mangazenkan.com/items/3625/,img/portadas/005_弱虫ペダル.jpg,1,14,8371.0
6,Hunter × Hunter,1,4.68,https://www.mangazenkan.com/items/18/,img/portadas/006_HUNTERHUNTER ハンターハンター.jpg,1,19,9196.0
7,Kingdom,1,4.92,https://www.mangazenkan.com/items/87/,img/portadas/007_キングダム.jpg,1,1,1045.0
8,JoJo's Bizarre Adventure,1,4.92,https://www.mangazenkan.com/items/4/,img/portadas/008_ジョジョの奇妙な冒険.jpg,1,1,2934.0
9,Magi,1,4.86,https://www.mangazenkan.com/items/14123/,img/portadas/009_マギ.jpg,1,37,20350.0
10,Slam Dunk,1,4.89,https://www.mangazenkan.com/items/167/,img/portadas/010_スラムダンクSLAMDUNK.jpg,1,1,1980.0
11,Hermanos del Espacio (Uchuu Kyoudai),1,4.45,https://www.mangazenkan.com/items/2635/,img/portadas/011_宇宙兄弟.jpg,1,44,37169.0
12,JoJo's Bizarre Adventure Set,1,5.0,https://www.mangazenkan.com/items/8/,img/portadas/012_ジョジョの奇妙な冒険SET.jpg,1,63,30492.0
13,JoJo's Bizarre Adventure: Stone Ocean,1,4.0,https://www.mangazenkan.com/items/182/,img/portadas/013_ジョジョストーンオーシャン.jpg,1,63,30492.0
14,Chihayafuru,1,4.56,https://www.mangazenkan.com/items/3656/,img/portadas/014_ちはやふる.jpg,1,50,27500.0
15,Terra Formars,1,4.29,https://www.mangazenkan.com/items/100111/,img/portadas/016_テラフォーマーズ.jpg,1,23,17710.0
16,Yowamushi Pedal,2,4.83,https://www.mangazenkan.com/items/10120490/,img/portadas/001_弱虫ペダル.jpg,1,14,8371.0
17,Yowamushi Pedal,2,5.0,https://www.mangazenkan.com/items/10120489/,img/portadas/002_弱虫ペダル.jpg,1,14,8371.0
18,Ataque de los Titanes,2,4.67,https://www.mangazenkan.com/items/40733/,img/portadas/003_進撃の巨人.jpg,1,2,1100.0
