id_manga,id_autor,id_editorial,id_categoria,id_tipo,id_formato,Ranking
1,1,1,1,1,1,1
182,1,1,1,1,1,1
2,2,2,1,1,1,2
3,3,2,1,1,1,3
183,3,2,1,1,1,3
4,4,2,1,1,1,4
188,4,2,1,1,1,4
5,5,3,1,1,1,5
191,5,3,1,1,1,5
6,6,2,1,1,1,6
184,6,2,1,1,1,6
7,7,2,2,1,2,7
181,7,2,2,1,2,7
8,2,2,1,1,1,8
9,8,4,1,1,1,9
10,9,2,1,1,1,10
11,10,1,2,1,2,11
189,10,1,2,1,2,11
12,2,2,1,1,1,12
13,2,2,1,1,1,13
14,11,1,3,1,1,14
15,12,2,2,1,2,16
16,5,3,1,1,1,1
17,5,3,1,1,1,1
196,5,3,1,1,1,1
16,5,3,1,1,1,2
17,5,3,1,1,1,2
196,5,3,1,1,1,2
18,1,1,1,1,1,3
198,1,1,1,1,1,3
19,13,2,1,1,1,4
20,14,2,2,1,2,5
199,14,2,2,1,2,5
21,15,2,4,1,1,6
22,16,1,1,1,1,7
208,16,1,1,1,1,7
23,4,2,1,1,1,8
204,4,2,1,1,1,8
24,17,2,5,1,3,9
25,9,2,1,1,1,10
26,3,2,1,1,1,11
203,3,2,1,1,1,11
27,18,2,4,1,1,12
28,7,2,2,1,2,13
197,7,2,2,1,2,13
29,19,1,2,1,2,14
30,20,1,2,1,2,15
31,7,2,2,1,2,1
211,7,2,2,1,2,1
32,21,2,1,1,1,2
33,19,1,2,1,2,3
34,22,2,1,1,1,4
35,23,1,2,1,2,5
215,23,1,2,1,2,5
36,14,2,2,1,2,6
37,5,3,1,1,1,7
218,5,3,1,1,1,7
38,1,1,1,1,1,8
214,1,1,1,1,1,8
39,13,2,1,1,1,9
40,24,2,4,1,1,10
41,25,4,3,1,1,11
42,26,2,1,1,1,12
212,26,2,1,1,1,12
43,27,1,1,1,1,13
221,27,1,1,1,1,13
44,28,5,2,1,2,14
45,29,1,1,1,1,15
46,7,2,2,1,2,1
226,7,2,2,1,2,1
47,30,2,1,1,1,3
48,31,6,2,1,2,4
49,13,2,1,1,1,5
50,32,7,6,1,4,6
51,21,2,1,1,1,7
52,33,8,1,1,2,8
53,29,1,1,1,1,9
54,34,1,1,1,1,10
232,34,1,1,1,1,10
55,35,1,1,1,5,11
56,14,2,2,1,2,12
57,36,1,4,1,1,13
58,37,4,1,1,2,14
59,9,2,1,1,1,15
60,11,1,3,1,1,16
228,11,1,3,1,1,16
61,7,2,2,1,2,1
241,7,2,2,1,2,1
62,30,2,1,1,1,3
246,30,2,1,1,1,3
63,38,4,1,1,5,4
64,1,1,1,1,1,5
242,1,1,1,1,1,5
65,14,2,2,1,2,6
66,39,9,2,1,2,7
67,40,10,1,1,1,8
249,40,10,1,1,1,8
68,13,2,1,1,1,9
255,13,2,1,1,1,9
69,14,2,2,1,2,10
247,14,2,2,1,2,10
70,9,2,1,1,1,11
71,41,1,1,1,5,12
72,42,4,2,1,2,13
73,6,2,1,1,1,14
250,6,2,1,1,1,14
74,43,1,1,1,1,15
75,3,2,1,1,1,16
243,3,2,1,1,1,16
76,30,2,1,1,1,1
261,30,2,1,1,1,1
77,7,2,2,1,2,2
256,7,2,2,1,2,2
78,6,2,1,1,1,4
258,6,2,1,1,1,4
79,44,2,2,1,2,5
264,44,2,2,1,2,5
80,45,4,3,1,1,6
81,46,2,1,1,1,7
82,13,2,1,1,1,8
268,13,2,1,1,1,8
83,47,2,1,1,1,9
84,27,1,1,1,1,10
260,27,1,1,1,1,10
85,3,2,1,1,1,11
257,3,2,1,1,1,11
86,48,4,7,1,6,13
262,48,4,7,1,6,13
87,49,1,1,1,2,14
88,14,2,2,1,2,15
270,14,2,2,1,2,15
89,9,2,1,1,1,16
90,50,1,1,1,2,17
263,50,1,1,1,2,17
91,51,2,1,1,1,1
272,51,2,1,1,1,1
92,7,2,2,1,2,2
271,7,2,2,1,2,2
