Ranking,Titulo,Autor,Editorial,Precio,Volúmenes,URL,Portada,Año,Tipo,Categoría,Placa,Puntaje
1,キングダム,原泰久,集英社,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2013,Digital,"青年漫画, 漫画",,4.92
2,進撃の巨人,諫山創,講談社,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/002_進撃の巨人.jpg,2013,Digital,"少年漫画, 漫画",,4.5
3,ONE PIECE,尾田栄一郎,集英社,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/003_ONE PIECE.jpg,2013,Digital,"少年漫画, 漫画",,4.8
4,HUNTER×HUNTER,冨樫義博,集英社,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/004_HUNTERHUNTER.jpg,2013,Digital,"少年漫画, 漫画",,4.68
5,ONE PIECE カラー版,尾田栄一郎,集英社,518,1巻,https://www.mangazenkan.com/items/10043701/,img/portadas/005_ONE PIECE カラー版.jpg,2013,Digital,"少年漫画, 漫画",,4.8
6,GANTZ,奥浩哉,集英社,617,1巻,https://www.mangazenkan.com/items/10054259/,img/portadas/006_GANTZ.jpg,2013,Digital,"青年漫画, 漫画",,3.67
7,ジョジョの奇妙な冒険 スティール・ボール・ラン,荒木飛呂彦,集英社,459,1巻,https://www.mangazenkan.com/items/10043646/,img/portadas/007_ジョジョの奇妙な冒険 スティールボールラン.jpg,2013,Digital,"少年漫画, 漫画",,5
8,黒子のバスケ,藤巻忠俊,集英社,459,1巻,https://www.mangazenkan.com/items/10043614/,img/portadas/008_黒子のバスケ.jpg,2013,Digital,"少年漫画, 漫画",,4.43
9,宇宙兄弟,小山宙哉,講談社,836,1巻,https://www.mangazenkan.com/items/10040854/,img/portadas/009_宇宙兄弟.jpg,2013,Digital,"青年漫画, 漫画",,4.45
10,静かなるドン,新田たつお,実業之日本社,495,1巻,https://www.mangazenkan.com/items/10040885/,img/portadas/010_静かなるドン.jpg,2013,Digital,"青年漫画, 漫画",,4
11,弱虫ペダル,渡辺航,秋田書店,528,1巻,https://www.mangazenkan.com/items/10040907/,img/portadas/011_弱虫ペダル.jpg,2013,Digital,"少年漫画, 漫画",,4.69
