Ranking,Titulo,Autor,Editorial,Precio,Volúmenes,URL,Portada,Año,Tipo,Categoría,Placa,Puntaje
1,Kingdom,Yasuhisa Hara,Shueisha,564,1巻,https://www.mangazenkan.com/items/10043626/,img/portadas/001_キングダム.jpg,2013,Digital,Seinen (manga para adultos),No especificado,4.92
2,Ataque de los Titanes,Hajime Isayama,Kodansha,594,1巻,https://www.mangazenkan.com/items/10042854/,img/portadas/002_進撃の巨人.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,4.5
3,One Piece,Eiichiro Oda,Shueisha,459,1巻,https://www.mangazenkan.com/items/10043628/,img/portadas/003_ONE PIECE.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,4.8
4,Hunter × Hunter,Yoshihiro Togashi,Shueisha,459,1巻,https://www.mangazenkan.com/items/10051608/,img/portadas/004_HUNTERHUNTER.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,4.68
5,One Piece (Versión a color),Eiichiro Oda,Shueisha,518,1巻,https://www.mangazenkan.com/items/10043701/,img/portadas/005_ONE PIECE カラー版.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,4.8
6,GANTZ,Hiroya Oku,Shueisha,617,1巻,https://www.mangazenkan.com/items/10054259/,img/portadas/006_GANTZ.jpg,2013,Digital,Seinen (manga para adultos),No especificado,3.67
7,JoJo's Bizarre Adventure: Steel Ball Run,Hirohiko Araki,Shueisha,459,1巻,https://www.mangazenkan.com/items/10043646/,img/portadas/007_ジョジョの奇妙な冒険 スティールボールラン.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,5
8,Kuroko no Basket,Tadatoshi Fujimaki,Shueisha,459,1巻,https://www.mangazenkan.com/items/10043614/,img/portadas/008_黒子のバスケ.jpg,2013,Digital,Shōnen (manga para chicos),No especificado,4.43
9,Hermanos del Espacio (Uchuu Kyoudai),Chuuya Koyama,Kodansha,836,1巻,https://www.mangazenkan.com/items/10040854/,img/portadas/009_宇宙兄弟.jpg,2013,Digital,Seinen (manga para adultos),No especificado,4.45
10,El Silencioso Don (Shizuka Naru Don),Tatsuo Nitta,Jitsugyo no Nihonsha,495,1巻,https://www.mangazenkan.com/items/10040885/,img/portadas/010_静かなるドン.jpg,2013,Digital,Seinen (manga para adultos),No especificado,4
